Fecha,Magnitud,Profundidad,Ubicación,Latitud,Longitud,Tipo,Estatus,Tsunami,Alerta,Significancia,Tipo de Origen,Fuente
1617328596755,2.9,7.0,Central Alaska,63.2448,-151.1351,earthquake,reviewed,0,,129,,ak
1617328456894,2.7,4.5,"45 km SE of Denali National Park, Alaska",63.2399,-151.0998,earthquake,reviewed,0,,112,,ak
1617296952591,3.2,79.1,"61 km E of Cantwell, Alaska",63.3643,-147.7223,earthquake,reviewed,0,,158,,ak
1617246063185,2.6,36.2,"3 km SSE of Big Lake, Alaska",61.4921,-149.9198,earthquake,reviewed,0,,104,,ak
1617190701349,2.8,81.2,"54 km W of Happy Valley, Alaska",59.9996,-152.7008,earthquake,reviewed,0,,121,,ak
1617185717762,2.7,117.8,"72 km ESE of Denali National Park, Alaska",63.2069,-150.4891,earthquake,reviewed,0,,112,,ak
1617182452360,2.6,106.1,"60 km WNW of Ninilchik, Alaska",60.2017,-152.717,earthquake,reviewed,0,,104,,ak
1617178321209,2.7,3.0,"55 km N of Petersville, Alaska",62.9945,-150.6426,earthquake,reviewed,0,,112,,ak
1617166636968,2.6,105.9,"53 km E of Pedro Bay, Alaska",59.7257,-153.1673,earthquake,reviewed,0,,104,,ak
1617161676757,2.9,84.0,"52 km W of Nanwalek, Alaska",59.3402,-152.8477,earthquake,reviewed,0,,129,,ak
1617094657968,2.6,24.9,"20 km S of Glacier View, Alaska",61.6231,-147.6369,earthquake,reviewed,0,,104,,ak
1617064447746,2.5,71.2,"40 km WSW of Anchor Point, Alaska",59.7022,-152.5394,earthquake,reviewed,0,,96,,ak
1617014873304,2.5,149.6,"51 km E of Port Alsworth, Alaska",60.1892,-153.3952,earthquake,reviewed,0,,96,,ak
1617006349234,3.4,7.5,"44 km SE of Denali National Park, Alaska",63.2582,-151.1021,earthquake,reviewed,0,,178,,ak
1616979952128,3.8,5.5,"11 km N of Valdez, Alaska",61.2328,-146.3733,earthquake,reviewed,0,green,230,,ak
1616976913697,2.8,59.5,"35 km SW of Karluk, Alaska",57.3783,-154.9373,earthquake,reviewed,0,,121,,ak
1616973805608,3.2,71.0,"42 km NNE of Chase, Alaska",62.7735,-149.671,earthquake,reviewed,0,,158,,ak
1616942559208,2.7,83.2,"27 km SW of Cantwell, Alaska",63.2107,-149.3237,earthquake,reviewed,0,,112,,ak
1616914238273,2.5,129.7,"65 km S of Kokhanok, Alaska",58.8537,-154.796,earthquake,reviewed,0,,96,,ak
1616868366602,2.9,74.8,"55 km NNE of Chase, Alaska",62.9291,-149.7936,earthquake,reviewed,0,,129,,ak
1616844250454,2.9,64.0,"67 km NW of Aleneva, Alaska",58.5585,-153.5648,earthquake,reviewed,0,,129,,ak
